County Name,Population,Crimes,Deaths,Hospitals,School Districts,Median Household Income,Unemployed,State Parks,Weather and Climate Combined Risk Score
Hill,37329,495,526,2,13,57566,1023,1,68.15144766
Hockley,21161,563,324,1,6,56923,845,0,69.71046771
Hood,66373,808,900,1,4,75545,1833,0,76.99650016
Hopkins,37804,202,523,1,7,64249,895,1,72.51034044
Houston,21950,349,355,1,5,49741,529,1,45.52974865
Howard,33672,1012,466,2,3,59598,1093,1,70.41043589
Hudspeth,3432,2,39,0,3,39582,149,0,6.681514477
Hunt,108282,1686,1163,2,10,68019,2847,1,85.93700286
Hutchinson,20215,335,315,1,4,65019,613,0,72.86032453
Irion,1530,15,19,0,1,77768,45,0,14.63569838
Jack,8922,54,104,2,6,54132,238,1,25.54883869
Jackson,15142,142,183,1,3,61953,422,0,88.03690741
Jasper,32484,549,531,1,4,50763,1443,1,76.74196627
JeffDavis,1903,6,29,0,2,58285,50,2,18.77187401
Jefferson,250830,8159,2958,8,10,55065,12570,1,97.74101177
JimHogg,4763,46,60,0,1,43782,180,0,4.645243398
JimWells,38826,1145,494,1,5,48252,2094,0,86.63697105
Johnson,195506,2316,1830,3,10,76747,5390,1,90.10499523
Jones,19935,102,262,1,5,51894,401,0,47.50238626
Karnes,14836,227,189,1,4,61860,440,0,65.22430799
Kaufman,172366,2279,1274,2,7,92814,4377,0,76.83741648
Kendall,48973,451,455,0,3,120238,1116,3,63.79255488
Kenedy,358,3,3,0,1,43274,10,0,7.349665924
Kent,740,6,17,0,1,58118,18,0,2.640789055
Kerr,53741,518,830,2,5,59619,1271,0,67.22876233
Kimble,4422,11,65,1,1,51851,92,1,46.03881642
King,233,0,2,0,1,87856,4,0,0.763601654
Kinney,3128,12,47,0,1,52609,79,1,1.559020045
Kleberg,30362,840,347,1,4,51342,1125,0,85.65065224
Knox,3273,23,75,1,3,47207,82,0,19.15367483
LaSalle,6604,9,78,0,1,40555,251,0,10.40407254
Lamar,50484,1103,786,1,5,62620,1518,0,82.34171174
Lamb,12724,134,224,1,5,53008,274,0,64.81069042
Lampasas,22785,234,285,1,2,67917,485,1,34.45752466
Lavaca,20589,152,319,2,7,58400,441,0,72.66942412
Lee,17954,209,226,0,3,65911,452,1,38.94368438
Leon,16209,200,251,0,5,56749,477,1,34.64842507
Liberty,101992,1413,885,2,7,61880,3571,1,91.63219854
Limestone,22253,448,338,2,3,51357,596,1,40.47088769
Lipscomb,2854,8,33,0,4,70236,64,0,32.96213808
LiveOak,11428,35,156,0,2,58576,386,1,33.28030544
Llano,22540,220,377,1,1,59528,486,1,68.56506522
Loving,51,23,0,0,0,94716,5,0,0.031816736
Lubbock,317561,15017,3470,8,12,59138,8996,0,95.73655743
Lynn,5724,50,93,1,4,56754,149,0,40.43907095
Madison,13661,129,168,1,2,53906,321,0,46.42061724
Marion,9560,159,182,0,1,47720,351,0,14.38116449
Martin,5217,152,66,1,2,73315,155,0,21.88991409
Mason,3982,3,48,2,1,59129,96,0,9.385937003
Matagorda,36125,1152,467,0,5,58380,1737,0,89.78682787
Maverick,57843,1387,688,2,1,43407,3673,0,60.16544703
McCulloch,7497,109,124,1,3,45915,244,0,9.990454979
McLennan,266836,7482,2742,4,21,63160,7410,0,90.39134585
McMullen,576,16,18,0,1,67525,20,1,1.718103723
Medina,53723,722,521,1,5,70313,1351,2,70.95132039
Menard,1968,120,41,0,1,44145,45,0,8.367801464
Midland,171999,3905,1312,3,3,81187,7924,0,88.3868915
Milam,25628,263,307,0,6,54667,696,0,57.81100859
Mills,4500,19,78,0,3,58068,78,0,6.522430799
Mitchell,8943,100,92,1,3,48378,189,1,34.61660834
Montague,21063,295,373,1,7,57076,602,0,61.05631562
Montgomery,678490,9971,4672,15,6,95241,21493,0,96.72287623
Moore,20996,398,192,1,2,66583,398,0,67.92873051
Morris,12083,118,194,0,2,49847,545,1,82.78714604
Motley,1032,9,23,0,1,46320,20,0,8.081450843
Nacogdoches,64862,1017,758,2,10,51708,1842,0,93.70028635
Navarro,54636,1000,634,1,7,50822,1442,0,84.56888323
Newton,12052,108,213,0,3,47804,557,0,47.82055361
Nolan,14473,245,229,1,4,50579,377,0,58.22462615
Nueces,351674,13162,3787,7,15,60250,14688,1,97.55011136
Ochiltree,9606,155,102,1,1,69383,236,0,48.64778874
Oldham,1752,3,20,0,4,66411,35,0,6.108813236
Orange,84934,1327,1151,0,5,63901,3786,0,96.56379255
PaloPinto,29239,667,456,1,6,56809,928,2,59.7836462
Panola,22677,464,378,1,4,59772,792,0,56.25198855
Parker,165834,2024,1418,2,9,95277,4012,1,87.90964047
Parmer,9620,83,114,1,4,57786,127,0,75.11931276
Pecos,14735,44,193,2,3,54003,530,0,17.21285396
Polk,53255,1026,822,1,6,58894,1602,1,82.2144448
Potter,115645,8812,1638,7,4,51028,2961,0,91.09131403
Presidio,5939,7,64,0,2,43666,476,3,18.61279033
Rains,12823,8,193,0,1,45419,283,0,28.31689469
Randall,146140,384,1403,0,1,77066,3246,1,89.94591155
Reagan,3135,27,34,1,1,83195,176,0,7.317849189
Real,2840,59,73,0,2,49467,72,0,32.16671969
RedRiver,11542,76,256,0,4,47081,327,0,26.31244034
Reeves,12905,170,151,1,2,53969,631,1,39.7709195
Refugio,6632,77,110,1,3,50936,252,0,63.50620426
Roberts,803,1,12,0,6,70814,19,0,3.97709195
Robertson,17153,317,235,0,5,57796,470,0,39.86636971
Rockwall,123208,1472,751,2,2,124291,3200,0,79.82818963
Runnels,9859,125,163,2,4,52729,223,0,21.9853643
Rusk,53333,75,682,1,8,55085,1619,1,65.03340757
Sabine,10048,61,190,1,3,50564,423,0,26.88514158
SanAugustine,7857,137,173,1,2,49591,290,0,22.71714922
SanJacinto,28348,4,379,0,2,57855,940,0,76.39198218
SanPatricio,69954,828,770,0,7,62919,2998,1,89.15049316
SanSaba,5824,27,100,0,3,51350,114,1,13.93573019
Schleicher,2357,19,28,1,1,54168,84,0,13.84027999
Scurry,16686,366,223,1,3,60387,512,0,59.81546293
Shackelford,3186,17,51,0,2,64690,94,0,25.03977092
Shelby,24008,371,330,0,6,51551,772,0,72.41489023
Sherman,2799,0,28,0,2,73395,40,0,37.8937321
Smith,241922,4545,2726,8,9,67978,7343,1,63.12440344
Somervell,9757,77,113,1,2,75568,280,1,30.41679924
Starr,65728,615,717,1,3,35758,4559,1,82.81896277
Stephens,9390,125,144,1,1,50710,245,2,21.73083042
Sterling,1417,10,14,0,1,75895,36,0,5.504295259
Stonewall,1182,35,28,1,1,53153,29,0,9.576837416
Sutton,3217,17,49,1,1,68838,120,0,39.93000318
Swisher,6881,141,116,1,3,52148,132,0,56.95195673
Tarrant,2154595,58024,16364,41,27,76285,79553,0,98.82278078
Taylor,145163,3235,1631,4,5,61798,3608,1,84.12344893
Terrell,693,0,14,0,1,47969,18,0,0.890868597
Terry,11567,215,175,1,3,46998,354,0,45.40248171
Throckmorton,1550,6,17,1,2,50997,31,0,6.363347121
Titus,31208,516,341,1,4,58411,891,1,68.31053134
TomGreen,118892,3387,1430,3,7,60348,3406,1,78.71460388
Travis,1326436,47192,6967,25,23,95151,46579,1,96.88195991
Trinity,13996,98,253,0,4,49629,429,0,50.36589246
Tyler,20030,193,322,1,5,50722,727,1,73.08304168
Upshur,42488,417,556,0,7,59690,1345,0,70.5058861
Upton,3152,24,44,2,2,61607,103,0,8.845052498
Uvalde,24940,597,328,1,4,48427,728,1,70.85587019
ValVerde,47606,755,570,2,2,52593,1794,2,79.60547248
VanZandt,62859,546,835,1,8,57706,1601,1,64.68342348
Victoria,91065,1993,1036,5,3,67905,3411,0,91.95036589
Walker,78870,1549,672,1,3,53301,1742,1,80.49634108
Waller,61894,916,457,0,3,75223,1846,0,79.76455616
Ward,10964,224,134,1,2,60775,582,1,9.48138721
Washington,36159,475,479,1,2,66911,866,1,72.76487432
Webb,267780,4302,2182,5,4,56289,9819,1,73.27394209
Wharton,41824,1217,537,1,5,57487,1448,0,89.88227808
Wheeler,4807,13,71,2,4,55713,134,0,53.51574928
Wichita,129978,3745,1637,6,5,56634,3686,0,82.46897868
Wilbarger,12491,149,209,2,3,52983,290,0,52.17944639
Willacy,20143,356,253,0,4,41648,790,0,84.88705059
Williamson,671418,8628,3683,10,15,101891,18646,0,87.43238944
Wilson,52735,609,459,1,4,79432,1396,0,76.5828826
Winkler,7306,97,89,1,2,69775,376,1,2.577155584
Wise,74895,809,784,1,7,80096,2099,0,79.06458797
Wood,46857,478,754,2,6,57504,1179,0,36.68469615
Yoakum,7451,70,91,1,2,62748,421,0,48.90232262
Young,17962,168,333,2,3,58297,410,0,50.23862552
Zapata,13849,37,127,0,1,39403,571,1,22.8762329
Zavala,9377,58,156,0,2,36237,484,0,43.46166083
